freq (Hz),leafValue( db(getData("out" ?result "noise")) "Design_Point" 1 ) (dB)
1.000,-135.9
1.122,-135.9
1.259,-135.9
1.413,-135.9
1.585,-135.9
1.778,-135.9
1.995,-135.9
2.239,-135.9
2.512,-135.9
2.818,-135.9
3.162,-135.9
3.548,-135.9
3.981,-135.9
4.467,-135.9
5.012,-135.9
5.623,-135.9
6.310,-135.9
7.079,-135.9
7.943,-135.9
8.913,-135.9
10.00,-135.9
11.22,-135.9
12.59,-135.9
14.13,-135.9
15.85,-135.9
17.78,-135.9
19.95,-135.9
22.39,-135.9
25.12,-135.9
28.18,-135.9
31.62,-135.9
35.48,-135.9
39.81,-135.9
44.67,-135.9
50.12,-135.9
56.23,-135.9
63.10,-135.9
70.79,-135.9
79.43,-135.9
89.13,-135.9
100.0,-135.9
112.2,-135.9
125.9,-135.9
141.3,-135.9
158.5,-135.9
177.8,-135.9
199.5,-135.9
223.9,-135.9
251.2,-135.9
281.8,-135.9
316.2,-135.9
354.8,-135.9
398.1,-135.9
446.7,-135.9
501.2,-135.9
562.3,-135.9
631.0,-135.9
707.9,-135.9
794.3,-135.9
891.3,-135.9
1.000E3,-135.9
1.122E3,-135.9
1.259E3,-135.9
1.413E3,-135.9
1.585E3,-135.9
1.778E3,-135.9
1.995E3,-135.9
2.239E3,-135.9
2.512E3,-135.9
2.818E3,-135.9
3.162E3,-135.9
3.548E3,-135.9
3.981E3,-135.9
4.467E3,-135.9
5.012E3,-135.9
5.623E3,-135.9
6.310E3,-135.9
7.079E3,-135.9
7.943E3,-135.9
8.913E3,-135.9
10.00E3,-135.9
11.22E3,-135.9
12.59E3,-135.9
14.13E3,-135.9
15.85E3,-136.0
17.78E3,-136.0
19.95E3,-136.0
22.39E3,-136.0
25.12E3,-136.0
28.18E3,-136.0
31.62E3,-136.0
35.48E3,-136.1
39.81E3,-136.1
44.67E3,-136.1
50.12E3,-136.2
56.23E3,-136.2
63.10E3,-136.3
70.79E3,-136.4
79.43E3,-136.4
89.13E3,-136.5
100.0E3,-136.6
112.2E3,-136.8
125.9E3,-136.9
141.3E3,-137.0
158.5E3,-137.2
177.8E3,-137.3
199.5E3,-137.4
223.9E3,-137.6
251.2E3,-137.7
281.8E3,-137.8
316.2E3,-138.0
354.8E3,-138.1
398.1E3,-138.2
446.7E3,-138.4
501.2E3,-138.5
562.3E3,-138.7
631.0E3,-138.9
707.9E3,-139.1
794.3E3,-139.4
891.3E3,-139.7
1.000E6,-140.1
1.122E6,-140.5
1.259E6,-141.0
1.413E6,-141.5
1.585E6,-142.2
1.778E6,-142.8
1.995E6,-143.6
2.239E6,-144.4
2.512E6,-145.2
2.818E6,-146.1
3.162E6,-147.0
3.548E6,-147.9
3.981E6,-148.9
4.467E6,-149.8
5.012E6,-150.8
5.623E6,-151.8
6.310E6,-152.8
7.079E6,-153.8
7.943E6,-154.8
8.913E6,-155.8
10.00E6,-156.8
11.22E6,-157.8
12.59E6,-158.8
14.13E6,-159.8
15.85E6,-160.8
17.78E6,-161.8
19.95E6,-162.8
22.39E6,-163.8
25.12E6,-164.8
28.18E6,-165.8
31.62E6,-166.8
35.48E6,-167.8
39.81E6,-168.8
44.67E6,-169.8
50.12E6,-170.8
56.23E6,-171.8
63.10E6,-172.8
70.79E6,-173.8
79.43E6,-174.8
89.13E6,-175.8
100.0E6,-176.8
112.2E6,-177.8
125.9E6,-178.8
141.3E6,-179.8
158.5E6,-180.8
177.8E6,-181.8
199.5E6,-182.8
223.9E6,-183.8
251.2E6,-184.8
281.8E6,-185.8
316.2E6,-186.8
354.8E6,-187.8
398.1E6,-188.8
446.7E6,-189.8
501.2E6,-190.8
562.3E6,-191.8
631.0E6,-192.8
707.9E6,-193.8
794.3E6,-194.8
891.3E6,-195.8
1.000E9,-196.8
