freq (Hz),leafValue( db(vfreq('ac "/Iout")) "Design_Point" 1 ) (dB)
1.000,-47.84
1.122,-47.84
1.259,-47.84
1.413,-47.84
1.585,-47.84
1.778,-47.84
1.995,-47.84
2.239,-47.84
2.512,-47.84
2.818,-47.84
3.162,-47.84
3.548,-47.84
3.981,-47.84
4.467,-47.84
5.012,-47.84
5.623,-47.84
6.310,-47.84
7.079,-47.84
7.943,-47.84
8.913,-47.84
10.00,-47.84
11.22,-47.84
12.59,-47.84
14.13,-47.84
15.85,-47.84
17.78,-47.84
19.95,-47.84
22.39,-47.84
25.12,-47.84
28.18,-47.84
31.62,-47.84
35.48,-47.84
39.81,-47.84
44.67,-47.84
50.12,-47.84
56.23,-47.84
63.10,-47.84
70.79,-47.84
79.43,-47.84
89.13,-47.84
100.0,-47.84
112.2,-47.84
125.9,-47.84
141.3,-47.84
158.5,-47.84
177.8,-47.84
199.5,-47.84
223.9,-47.84
251.2,-47.84
281.8,-47.84
316.2,-47.84
354.8,-47.84
398.1,-47.84
446.7,-47.84
501.2,-47.83
562.3,-47.83
631.0,-47.83
707.9,-47.83
794.3,-47.82
891.3,-47.81
1.000E3,-47.81
1.122E3,-47.80
1.259E3,-47.79
1.413E3,-47.77
1.585E3,-47.75
1.778E3,-47.73
1.995E3,-47.70
2.239E3,-47.67
2.512E3,-47.62
2.818E3,-47.57
3.162E3,-47.50
3.548E3,-47.41
3.981E3,-47.31
4.467E3,-47.18
5.012E3,-47.02
5.623E3,-46.84
6.310E3,-46.61
7.079E3,-46.34
7.943E3,-46.02
8.913E3,-45.65
10.00E3,-45.23
11.22E3,-44.75
12.59E3,-44.21
14.13E3,-43.61
15.85E3,-42.96
17.78E3,-42.27
19.95E3,-41.52
22.39E3,-40.73
25.12E3,-39.91
28.18E3,-39.06
31.62E3,-38.18
35.48E3,-37.28
39.81E3,-36.36
44.67E3,-35.43
50.12E3,-34.48
56.23E3,-33.53
63.10E3,-32.56
70.79E3,-31.59
79.43E3,-30.62
89.13E3,-29.65
100.0E3,-28.67
112.2E3,-27.69
125.9E3,-26.71
141.3E3,-25.74
158.5E3,-24.76
177.8E3,-23.79
199.5E3,-22.83
223.9E3,-21.87
251.2E3,-20.92
281.8E3,-19.98
316.2E3,-19.05
354.8E3,-18.14
398.1E3,-17.25
446.7E3,-16.39
501.2E3,-15.56
562.3E3,-14.76
631.0E3,-14.02
707.9E3,-13.33
794.3E3,-12.70
891.3E3,-12.15
1.000E6,-11.69
1.122E6,-11.32
1.259E6,-11.05
1.413E6,-10.89
1.585E6,-10.83
1.778E6,-10.89
1.995E6,-11.05
2.239E6,-11.30
2.512E6,-11.63
2.818E6,-12.02
3.162E6,-12.45
3.548E6,-12.90
3.981E6,-13.35
4.467E6,-13.79
5.012E6,-14.20
5.623E6,-14.58
6.310E6,-14.91
7.079E6,-15.20
7.943E6,-15.45
8.913E6,-15.66
10.00E6,-15.83
11.22E6,-15.97
12.59E6,-16.09
14.13E6,-16.19
15.85E6,-16.26
17.78E6,-16.33
19.95E6,-16.38
22.39E6,-16.42
25.12E6,-16.45
28.18E6,-16.47
31.62E6,-16.49
35.48E6,-16.51
39.81E6,-16.52
44.67E6,-16.53
50.12E6,-16.54
56.23E6,-16.55
63.10E6,-16.55
70.79E6,-16.56
79.43E6,-16.56
89.13E6,-16.56
100.0E6,-16.57
112.2E6,-16.57
125.9E6,-16.57
141.3E6,-16.57
158.5E6,-16.57
177.8E6,-16.57
199.5E6,-16.57
223.9E6,-16.57
251.2E6,-16.57
281.8E6,-16.57
316.2E6,-16.57
354.8E6,-16.57
398.1E6,-16.57
446.7E6,-16.57
501.2E6,-16.57
562.3E6,-16.57
631.0E6,-16.57
707.9E6,-16.57
794.3E6,-16.57
891.3E6,-16.57
1.000E9,-16.57
