freq (Hz),leafValue( db(vfreq('ac "/net28")) "Design_Point" 1 ) (dB)
1.000,-46.84
1.122,-46.84
1.259,-46.84
1.413,-46.84
1.585,-46.84
1.778,-46.84
1.995,-46.84
2.239,-46.84
2.512,-46.84
2.818,-46.84
3.162,-46.84
3.548,-46.84
3.981,-46.84
4.467,-46.84
5.012,-46.84
5.623,-46.84
6.310,-46.84
7.079,-46.84
7.943,-46.84
8.913,-46.84
10.00,-46.84
11.22,-46.84
12.59,-46.84
14.13,-46.84
15.85,-46.84
17.78,-46.84
19.95,-46.84
22.39,-46.84
25.12,-46.84
28.18,-46.84
31.62,-46.84
35.48,-46.84
39.81,-46.84
44.67,-46.84
50.12,-46.84
56.23,-46.84
63.10,-46.84
70.79,-46.84
79.43,-46.84
89.13,-46.84
100.0,-46.84
112.2,-46.84
125.9,-46.84
141.3,-46.84
158.5,-46.84
177.8,-46.84
199.5,-46.84
223.9,-46.84
251.2,-46.84
281.8,-46.84
316.2,-46.84
354.8,-46.84
398.1,-46.84
446.7,-46.84
501.2,-46.84
562.3,-46.84
631.0,-46.84
707.9,-46.84
794.3,-46.84
891.3,-46.84
1.000E3,-46.84
1.122E3,-46.84
1.259E3,-46.84
1.413E3,-46.84
1.585E3,-46.84
1.778E3,-46.84
1.995E3,-46.84
2.239E3,-46.84
2.512E3,-46.84
2.818E3,-46.84
3.162E3,-46.84
3.548E3,-46.84
3.981E3,-46.84
4.467E3,-46.84
5.012E3,-46.84
5.623E3,-46.83
6.310E3,-46.83
7.079E3,-46.83
7.943E3,-46.83
8.913E3,-46.83
10.00E3,-46.83
11.22E3,-46.82
12.59E3,-46.82
14.13E3,-46.81
15.85E3,-46.80
17.78E3,-46.80
19.95E3,-46.79
22.39E3,-46.77
25.12E3,-46.75
28.18E3,-46.73
31.62E3,-46.71
35.48E3,-46.67
39.81E3,-46.63
44.67E3,-46.58
50.12E3,-46.51
56.23E3,-46.43
63.10E3,-46.33
70.79E3,-46.21
79.43E3,-46.06
89.13E3,-45.88
100.0E3,-45.67
112.2E3,-45.41
125.9E3,-45.11
141.3E3,-44.75
158.5E3,-44.34
177.8E3,-43.88
199.5E3,-43.35
223.9E3,-42.77
251.2E3,-42.14
281.8E3,-41.45
316.2E3,-40.72
354.8E3,-39.94
398.1E3,-39.13
446.7E3,-38.29
501.2E3,-37.41
562.3E3,-36.52
631.0E3,-35.60
707.9E3,-34.67
794.3E3,-33.73
891.3E3,-32.78
1.000E6,-31.82
1.122E6,-30.85
1.259E6,-29.88
1.413E6,-28.90
1.585E6,-27.93
1.778E6,-26.95
1.995E6,-25.98
2.239E6,-25.00
2.512E6,-24.03
2.818E6,-23.07
3.162E6,-22.11
3.548E6,-21.16
3.981E6,-20.21
4.467E6,-19.28
5.012E6,-18.37
5.623E6,-17.48
6.310E6,-16.61
7.079E6,-15.77
7.943E6,-14.97
8.913E6,-14.22
10.00E6,-13.51
11.22E6,-12.87
12.59E6,-12.30
14.13E6,-11.80
15.85E6,-11.37
17.78E6,-11.02
19.95E6,-10.75
22.39E6,-10.55
25.12E6,-10.41
28.18E6,-10.33
31.62E6,-10.28
35.48E6,-10.28
39.81E6,-10.30
44.67E6,-10.33
50.12E6,-10.38
56.23E6,-10.43
63.10E6,-10.49
70.79E6,-10.54
79.43E6,-10.58
89.13E6,-10.63
100.0E6,-10.66
112.2E6,-10.69
125.9E6,-10.72
141.3E6,-10.74
158.5E6,-10.76
177.8E6,-10.77
199.5E6,-10.79
223.9E6,-10.79
251.2E6,-10.80
281.8E6,-10.81
316.2E6,-10.81
354.8E6,-10.82
398.1E6,-10.82
446.7E6,-10.82
501.2E6,-10.83
562.3E6,-10.83
631.0E6,-10.83
707.9E6,-10.83
794.3E6,-10.83
891.3E6,-10.83
1.000E9,-10.83
